source_division_code,source_district_code,source_upazila_code,source_division_name_en,source_district_name_en,source_upazila_name_en,source_division_name_bn,source_district_name_bn,source_upazila_name_bn,failure_reason,candidate_1_target_division_code,candidate_1_target_district_code,candidate_1_target_upazila_code,candidate_1_target_division_name_en,candidate_1_target_district_name_en,candidate_1_target_upazila_name_en,candidate_1_target_division_name_bn,candidate_1_target_district_name_bn,candidate_1_target_upazila_name_bn,candidate_1_reason,candidate_2_target_division_code,candidate_2_target_district_code,candidate_2_target_upazila_code,candidate_2_target_division_name_en,candidate_2_target_district_name_en,candidate_2_target_upazila_name_en,candidate_2_target_division_name_bn,candidate_2_target_district_name_bn,candidate_2_target_upazila_name_bn,candidate_2_reason,candidate_3_target_division_code,candidate_3_target_district_code,candidate_3_target_upazila_code,candidate_3_target_division_name_en,candidate_3_target_district_name_en,candidate_3_target_upazila_name_en,candidate_3_target_division_name_bn,candidate_3_target_district_name_bn,candidate_3_target_upazila_name_bn,candidate_3_reason,manual_target_division_code,manual_target_district_code,manual_target_upazila_code,selected_candidate,review_status,reviewed_by,notes
1,9,80,Chattagram,Coxsbazar,Coxsbazar Sadar,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_missing_division; nuhil division id 1 missing; 10 unions. | nuhil_missing_division; nuhil division id 1 missing; 10 unions.
1,9,81,Chattagram,Coxsbazar,Chakaria,চট্টগ্রাম,কক্সবাজার,চকরিয়া,nuhil_district_name_no_match,20,2022,20220016,Chattogram,Cox's Bazar,Chakaria,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 16. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions.
1,9,82,Chattagram,Coxsbazar,Kutubdia,চট্টগ্রাম,কক্সবাজার,কুতুবদিয়া,nuhil_district_name_no_match,20,2022,20220045,Chattogram,Cox's Bazar,Kutubdia,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_missing_division; nuhil division id 1 missing; 6 unions. | nuhil_missing_division; nuhil division id 1 missing; 6 unions.
1,9,83,Chattagram,Coxsbazar,Ukhiya,চট্টগ্রাম,কক্সবাজার,উখিয়া,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 5. | nuhil_missing_division; nuhil division id 1 missing; 5 unions. | nuhil_missing_division; nuhil division id 1 missing; 5 unions.
1,9,84,Chattagram,Coxsbazar,Moheshkhali,চট্টগ্রাম,কক্সবাজার,মহেশখালী,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_missing_division; nuhil division id 1 missing; 8 unions. | nuhil_missing_division; nuhil division id 1 missing; 8 unions.
1,9,85,Chattagram,Coxsbazar,Pekua,চট্টগ্রাম,কক্সবাজার,পেকুয়া,nuhil_district_name_no_match,20,2022,20220056,Chattogram,Cox's Bazar,Pekua,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_missing_division; nuhil division id 1 missing; 7 unions. | nuhil_missing_division; nuhil division id 1 missing; 7 unions.
1,9,86,Chattagram,Coxsbazar,Ramu,চট্টগ্রাম,কক্সবাজার,রামু,nuhil_district_name_no_match,20,2022,20220066,Chattogram,Cox's Bazar,Ramu,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 11. | nuhil_missing_division; nuhil division id 1 missing; 11 unions. | nuhil_missing_division; nuhil division id 1 missing; 11 unions.
1,9,87,Chattagram,Coxsbazar,Teknaf,চট্টগ্রাম,কক্সবাজার,টেকনাফ,nuhil_district_name_no_match,20,2022,20220090,Chattogram,Cox's Bazar,Teknaf,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_missing_division; nuhil division id 1 missing; 6 unions. | nuhil_missing_division; nuhil division id 1 missing; 6 unions.
2,18,155,Rajshahi,Chapainawabganj,Chapainawabganj Sadar,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,nuhil_district_name_no_match,50,5070,50700066,Rajshahi,Chapainababganj,Chapainawabganj Sadar,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,30,3026,30260062,Dhaka,Dhaka,Nawabganj,ঢাকা বিভাগ,,,Different HDX division than nuhil-mapped 50; Upazila name similarity only (weak — verify district),,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14.
2,18,156,Rajshahi,Chapainawabganj,Gomostapur,রাজশাহী,চাঁপাইনবাবগঞ্জ,গোমস্তাপুর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8.
2,18,157,Rajshahi,Chapainawabganj,Nachol,রাজশাহী,চাঁপাইনবাবগঞ্জ,নাচোল,nuhil_district_name_no_match,50,5070,50700056,Rajshahi,Chapainababganj,Nachole,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Upazila name similarity only (weak — verify district),,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4.
2,18,158,Rajshahi,Chapainawabganj,Bholahat,রাজশাহী,চাঁপাইনবাবগঞ্জ,ভোলাহাট,nuhil_district_name_no_match,50,5070,50700018,Rajshahi,Chapainababganj,Bholahat,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4.
2,18,159,Rajshahi,Chapainawabganj,Shibganj,রাজশাহী,চাঁপাইনবাবগঞ্জ,শিবগঞ্জ,nuhil_district_name_no_match,50,5010,50100094,Rajshahi,Bogura,Shibganj,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,50,5070,50700088,Rajshahi,Chapainababganj,Shibganj,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15.
4,30,230,Barisal,Jhalakathi,Jhalakathi Sadar,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10.
4,30,231,Barisal,Jhalakathi,Kathalia,বরিশাল,ঝালকাঠি,কাঠালিয়া,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
4,30,232,Barisal,Jhalakathi,Nalchity,বরিশাল,ঝালকাঠি,নলছিটি,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10.
4,30,233,Barisal,Jhalakathi,Rajapur,বরিশাল,ঝালকাঠি,রাজাপুর,nuhil_district_name_no_match,10,1042,10420084,Barishal,Jhalokati,Rajapur,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
4,33,249,Barisal,Barisal,Barisal Sadar,বরিশাল,বরিশাল,বরিশাল সদর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10.
4,33,250,Barisal,Barisal,Bakerganj,বরিশাল,বরিশাল,বাকেরগঞ্জ,nuhil_district_name_no_match,10,1006,10060007,Barishal,Barishal,Bakerganj,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14.
4,33,251,Barisal,Barisal,Babuganj,বরিশাল,বরিশাল,বাবুগঞ্জ,nuhil_district_name_no_match,10,1006,10060003,Barishal,Barishal,Babuganj,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
4,33,252,Barisal,Barisal,Wazirpur,বরিশাল,বরিশাল,উজিরপুর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 9. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 9. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 9.
4,33,253,Barisal,Barisal,Banaripara,বরিশাল,বরিশাল,বানারীপাড়া,nuhil_district_name_no_match,10,1006,10060010,Barishal,Barishal,Banaripara,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8.
4,33,254,Barisal,Barisal,Gournadi,বরিশাল,বরিশাল,গৌরনদী,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7.
4,33,255,Barisal,Barisal,Agailjhara,বরিশাল,বরিশাল,আগৈলঝাড়া,nuhil_district_name_no_match,10,1006,10060002,Barishal,Barishal,Agailjhara,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 5. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 5. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 5.
4,33,256,Barisal,Barisal,Mehendiganj,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,nuhil_district_name_no_match,10,1006,10060062,Barishal,Barishal,Mehendiganj,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13.
4,33,257,Barisal,Barisal,Muladi,বরিশাল,বরিশাল,মুলাদী,nuhil_district_name_no_match,10,1006,10060069,Barishal,Barishal,Muladi,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7.
4,33,258,Barisal,Barisal,Hizla,বরিশাল,বরিশাল,হিজলা,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
8,64,482,Mymensingh,Netrokona,Barhatta,ময়মনসিংহ,নেত্রকোণা,বারহাট্টা,nuhil_district_name_no_match,45,4572,45720009,Mymensingh,Netrakona,Barhatta,ময়মনসিংহ বিভাগ,,,Within mapped HDX division (Mymensingh); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7.
8,64,483,Mymensingh,Netrokona,Durgapur,ময়মনসিংহ,নেত্রকোণা,দুর্গাপুর,nuhil_district_name_no_match,45,4572,45720018,Mymensingh,Netrakona,Durgapur,ময়মনসিংহ বিভাগ,,,Within mapped HDX division (Mymensingh); Exact normalized English (or cross-field) upazila name match,50,5081,50810031,Rajshahi,Rajshahi,Durgapur,রাজশাহী বিভাগ,,,Different HDX division than nuhil-mapped 45; Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7.
8,64,484,Mymensingh,Netrokona,Kendua,ময়মনসিংহ,নেত্রকোণা,কেন্দুয়া,nuhil_district_name_no_match,45,4572,45720047,Mymensingh,Netrakona,Kendua,ময়মনসিংহ বিভাগ,,,Within mapped HDX division (Mymensingh); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13.
8,64,485,Mymensingh,Netrokona,Atpara,ময়মনসিংহ,নেত্রকোণা,আটপাড়া,nuhil_district_name_no_match,45,4572,45720004,Mymensingh,Netrakona,Atpara,ময়মনসিংহ বিভাগ,,,Within mapped HDX division (Mymensingh); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7.
8,64,486,Mymensingh,Netrokona,Madan,ময়মনসিংহ,নেত্রকোণা,মদন,nuhil_district_name_no_match,45,4572,45720056,Mymensingh,Netrakona,Madan,ময়মনসিংহ বিভাগ,,,Within mapped HDX division (Mymensingh); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8.
8,64,487,Mymensingh,Netrokona,Khaliajuri,ময়মনসিংহ,নেত্রকোণা,খালিয়াজুরী,nuhil_district_name_no_match,45,4572,45720038,Mymensingh,Netrakona,Khaliajuri,ময়মনসিংহ বিভাগ,,,Within mapped HDX division (Mymensingh); Exact normalized English (or cross-field) upazila name match,60,6058,60580035,Sylhet,Moulvibazar,Juri,সিলেট বিভাগ,,,Different HDX division than nuhil-mapped 45; Upazila name similarity only (weak — verify district),,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
8,64,488,Mymensingh,Netrokona,Kalmakanda,ময়মনসিংহ,নেত্রকোণা,কলমাকান্দা,nuhil_district_name_no_match,45,4572,45720040,Mymensingh,Netrakona,Kalmakanda,ময়মনসিংহ বিভাগ,,,Within mapped HDX division (Mymensingh); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8.
8,64,489,Mymensingh,Netrokona,Mohongonj,ময়মনসিংহ,নেত্রকোণা,মোহনগঞ্জ,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7.
8,64,490,Mymensingh,Netrokona,Purbadhala,ময়মনসিংহ,নেত্রকোণা,পূর্বধলা,nuhil_district_name_no_match,45,4572,45720083,Mymensingh,Netrakona,Purbadhala,ময়মনসিংহ বিভাগ,,,Within mapped HDX division (Mymensingh); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 11. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 11. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 11.
8,64,491,Mymensingh,Netrokona,Netrokona Sadar,ময়মনসিংহ,নেত্রকোণা,নেত্রকোণা সদর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12.
1,1,11,Chattagram,Cumilla,Comilla Sadar,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,nuhil_upazila_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Comilla Sadar"" / ""কুমিল্লা সদর"": 0 HDX matches in district 2019. Unions: 6."
1,1,13,Chattagram,Cumilla,Monohargonj,চট্টগ্রাম,কুমিল্লা,মনোহরগঞ্জ,nuhil_upazila_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Monohargonj"" / ""মনোহরগঞ্জ"": 0 HDX matches in district 2019. Unions: 11."
